bancario,no bancario
0.707860884,0.292139116
0.720222807,0.279777193
0.715312334,0.284687666
0.708333149,0.291666851
0.70059856,0.29940144
0.683982393,0.316017607
0.680152647,0.319847353
0.674286249,0.325713751
0.631489853,0.368510147
0.619970149,0.380029851
0.605928667,0.394071333
0.574168915,0.425831085
0.562555444,0.437444556
0.531621899,0.468378101
0.509608792,0.490391208
0.485249517,0.514750483
0.446059552,0.553940448
0.416266805,0.583733195
0.38695462,0.61304538
0.373916178,0.626083822
0.356211146,0.643788854
0.339337895,0.660662105
0.323601256,0.676398744
0.310553191,0.689446809
0.296571911,0.703428089
0.277568898,0.722431102
0.259631534,0.740368466
0.24872024,0.75127976
0.236248286,0.763751714
0.228539425,0.771460575
0.217191912,0.782808088
0.215818458,0.784181542
0.211067248,0.788932752
0.208748432,0.791251568
0.21738072,0.78261928
0.219573595,0.780426405
0.249662525,0.750337475
0.262709189,0.737290811
0.271831262,0.728168738
0.288151781,0.711848219
0.292797267,0.707202733
0.299073228,0.700926772
0.307850433,0.692149567
0.319857743,0.680142257
0.281404029,0.718595971
0.278167999,0.721832001
0.284165187,0.715834813
0.28474101,0.71525899
0.293843883,0.706156117
0.287712449,0.712287551
0.289341056,0.710658944
0.288909287,0.711090713
0.305303939,0.694696061
0.29872613,0.70127387
0.300427288,0.699572712
0.303146703,0.696853297
0.310999689,0.689000311
0.301443613,0.698556387
0.316486945,0.683513055
0.317696159,0.682303841
0.321235699,0.678764301
0.315730862,0.684269138
0.318100645,0.681899355
0.319595806,0.680404194
0.322818472,0.677181528
0.319040615,0.680959385
0.322661809,0.677338191
0.324023786,0.675976214
0.33838172,0.66161828
0.33377584,0.66622416
0.338476064,0.661523936
0.335852574,0.664147426
0.342360233,0.657639767
0.333346167,0.666653833
0.338678884,0.661321116
0.339469152,0.660530848
0.345566833,0.654433167
0.338002505,0.661997495
0.341073762,0.658926238
0.34072836,0.65927164
0.347105897,0.652894103
0.342045985,0.657954015
0.343555862,0.656444138
0.3431393,0.6568607
0.345527293,0.654472707
0.338571626,0.661428374
0.344015984,0.655984016
0.345251905,0.654748095
0.350500797,0.649499203
0.344124237,0.655875763
0.349312614,0.650687386
0.35254752,0.64745248
0.363746457,0.636253543
0.359043356,0.640956644
0.361308938,0.638691062
0.362726271,0.637273729
0.367848118,0.632151882
0.364039954,0.635960046
0.368708738,0.631291262
0.369069301,0.630930699
0.376308038,0.623691962
